region_4,region_4,exchange,timestep_2,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
66BG,67MK,methaneGrid,2040,315.2859964,capaExcResi,0,costExpExc,220.7001975,costOprExc,48.2781682,All same as h2Grid
66BG,68GR,methaneGrid,2040,393.8604482,capaExcResi,0,costExpExc,275.7023137,costOprExc,60.30988113,All same as h2Grid
67MK,68GR,methaneGrid,2040,181.6802457,capaExcResi,0,costExpExc,127.176172,costOprExc,27.81978762,All same as h2Grid
67MK,70AL,methaneGrid,2040,150.5136201,capaExcResi,0,costExpExc,105.3595341,costOprExc,23.04739808,All same as h2Grid
68GR,69GR,methaneGrid,2040,338.6194346,capaExcResi,0,costExpExc,237.0336042,costOprExc,51.85110092,All same as h2Grid
68GR,70AL,methaneGrid,2040,206.9275499,capaExcResi,0,costExpExc,144.8492849,costOprExc,31.68578108,All same as h2Grid
72DK,89SE,methaneGrid,2040,164.6954858,capaExcResi,0,costExpExc,115.2868401,costOprExc,25.21899626,All same as h2Grid
73EE,75FI,methaneGrid,2040,378.2993726,capaExcResi,0,costExpExc,264.8095608,costOprExc,57.92709143,All same as h2Grid
73EE,78LV,methaneGrid,2040,199.7861262,capaExcResi,0,costExpExc,139.8502883,costOprExc,30.59225057,All same as h2Grid
74FI,75FI,methaneGrid,2040,530.9718836,capaExcResi,0,costExpExc,371.6803185,costOprExc,81.30506968,All same as h2Grid
74FI,85NO,methaneGrid,2040,410.6501244,capaExcResi,0,costExpExc,287.4550871,costOprExc,62.8808003,All same as h2Grid
74FI,86SE,methaneGrid,2040,263.980813,capaExcResi,0,costExpExc,184.7865691,costOprExc,40.42206199,All same as h2Grid
77LT,78LV,methaneGrid,2040,203.5679618,capaExcResi,0,costExpExc,142.4975733,costOprExc,31.17134415,All same as h2Grid
79NO,80NO,methaneGrid,2040,177.2002144,capaExcResi,0,costExpExc,124.0401501,costOprExc,27.13378283,All same as h2Grid
79NO,81NO,methaneGrid,2040,230.4470793,capaExcResi,0,costExpExc,161.3129555,costOprExc,35.28720902,All same as h2Grid
80NO,81NO,methaneGrid,2040,251.4648622,capaExcResi,0,costExpExc,176.0254035,costOprExc,38.50555702,All same as h2Grid
80NO,82NO,methaneGrid,2040,223.0004002,capaExcResi,0,costExpExc,156.1002801,costOprExc,34.14693628,All same as h2Grid
81NO,82NO,methaneGrid,2040,239.1201576,capaExcResi,0,costExpExc,167.3841103,costOprExc,36.61527413,All same as h2Grid
81NO,83NO,methaneGrid,2040,271.6692295,capaExcResi,0,costExpExc,190.1684607,costOprExc,41.59935077,All same as h2Grid
82NO,83NO,methaneGrid,2040,241.2628238,capaExcResi,0,costExpExc,168.8839767,costOprExc,36.94336989,All same as h2Grid
82NO,88SE,methaneGrid,2040,320.1586636,capaExcResi,0,costExpExc,224.1110645,costOprExc,49.02429536,All same as h2Grid
83NO,84NO,methaneGrid,2040,572.1602243,capaExcResi,0,costExpExc,400.512157,costOprExc,87.61203435,All same as h2Grid
83NO,87SE,methaneGrid,2040,429.6816884,capaExcResi,0,costExpExc,300.7771819,costOprExc,65.79500854,All same as h2Grid
84NO,85NO,methaneGrid,2040,553.241949,capaExcResi,0,costExpExc,387.2693643,costOprExc,84.71517344,All same as h2Grid
84NO,86SE,methaneGrid,2040,270.774259,capaExcResi,0,costExpExc,189.5419813,costOprExc,41.46230841,All same as h2Grid
84NO,87SE,methaneGrid,2040,420.1019246,capaExcResi,0,costExpExc,294.0713472,costOprExc,64.3281072,All same as h2Grid
86SE,87SE,methaneGrid,2040,412.9328247,capaExcResi,0,costExpExc,289.0529773,costOprExc,63.23033878,All same as h2Grid
87SE,88SE,methaneGrid,2040,503.9427541,capaExcResi,0,costExpExc,352.7599279,costOprExc,77.16623422,All same as h2Grid
88SE,89SE,methaneGrid,2040,336.7014957,capaExcResi,0,costExpExc,235.691047,costOprExc,51.55741653,All same as h2Grid
90UK,91UK,methaneGrid,2040,269.9501434,capaExcResi,0,costExpExc,188.9651004,costOprExc,41.33611571,All same as h2Grid
90UK,92UK,methaneGrid,2040,246.9479978,capaExcResi,0,costExpExc,172.8635985,costOprExc,37.81391216,All same as h2Grid
91UK,92UK,methaneGrid,2040,211.0090985,capaExcResi,0,costExpExc,147.706369,costOprExc,32.31076821,All same as h2Grid
92UK,93UK,methaneGrid,2040,246.8552468,capaExcResi,0,costExpExc,172.7986728,costOprExc,37.79970967,All same as h2Grid
93UK,94UK,methaneGrid,2040,351.7016062,capaExcResi,0,costExpExc,246.1911243,costOprExc,53.85430845,All same as h2Grid
93UK,95UK,methaneGrid,2040,242.5576461,capaExcResi,0,costExpExc,169.7903523,costOprExc,37.14163956,All same as h2Grid
95UK,96IE,methaneGrid,2040,195.1596407,capaExcResi,0,costExpExc,136.6117485,costOprExc,29.88381998,All same as h2Grid
98IT,99FR,methaneGrid,2040,205.638573,capaExcResi,0,costExpExc,143.9470011,costOprExc,31.48840649,All same as h2Grid
01ES,02ES,methaneGrid,,226.0229801,lossExc,0.00773,,,,,All same as h2Grid
01ES,12PT,methaneGrid,,220.7843196,lossExc,0.00755,,,,,All same as h2Grid
02ES,03ES,methaneGrid,,169.3470606,lossExc,0.00579,,,,,All same as h2Grid
02ES,08ES,methaneGrid,,345.1591499,lossExc,0.01181,,,,,All same as h2Grid
02ES,12PT,methaneGrid,,242.1057926,lossExc,0.00828,,,,,All same as h2Grid
03ES,04ES,methaneGrid,,170.5697448,lossExc,0.00584,,,,,All same as h2Grid
03ES,05ES,methaneGrid,,258.8830989,lossExc,0.00886,,,,,All same as h2Grid
03ES,07ES,methaneGrid,,135.5792406,lossExc,0.00464,,,,,All same as h2Grid
03ES,08ES,methaneGrid,,285.2596021,lossExc,0.00976,,,,,All same as h2Grid
03ES,11ES,methaneGrid,,365.8997089,lossExc,0.01252,,,,,All same as h2Grid
04ES,05ES,methaneGrid,,200.888342,lossExc,0.00687,,,,,All same as h2Grid
04ES,14FR,methaneGrid,,286.850674,lossExc,0.00981,,,,,All same as h2Grid
05ES,06ES,methaneGrid,,180.7563858,lossExc,0.00618,,,,,All same as h2Grid
05ES,11ES,methaneGrid,,268.5552515,lossExc,0.00919,,,,,All same as h2Grid
05ES,14FR,methaneGrid,,305.4484316,lossExc,0.01045,,,,,All same as h2Grid
06ES,11ES,methaneGrid,,370.9179493,lossExc,0.01269,,,,,All same as h2Grid
06ES,14FR,methaneGrid,,253.2242877,lossExc,0.00866,,,,,All same as h2Grid
06ES,15FR,methaneGrid,,270.4177384,lossExc,0.00925,,,,,All same as h2Grid
07ES,08ES,methaneGrid,,172.8048204,lossExc,0.00591,,,,,All same as h2Grid
07ES,11ES,methaneGrid,,276.9872673,lossExc,0.00948,,,,,All same as h2Grid
08ES,09ES,methaneGrid,,231.1051398,lossExc,0.00791,,,,,All same as h2Grid
08ES,10ES,methaneGrid,,198.6497561,lossExc,0.0068,,,,,All same as h2Grid
08ES,11ES,methaneGrid,,359.9690076,lossExc,0.01232,,,,,All same as h2Grid
08ES,12PT,methaneGrid,,277.8273511,lossExc,0.00951,,,,,All same as h2Grid
08ES,13PT,methaneGrid,,275.4245566,lossExc,0.00942,,,,,All same as h2Grid
09ES,10ES,methaneGrid,,167.4661886,lossExc,0.00573,,,,,All same as h2Grid
09ES,13PT,methaneGrid,,264.6981729,lossExc,0.00906,,,,,All same as h2Grid
10ES,11ES,methaneGrid,,300.3706252,lossExc,0.01028,,,,,All same as h2Grid
12PT,13PT,methaneGrid,,254.0269767,lossExc,0.00869,,,,,All same as h2Grid
14FR,15FR,methaneGrid,,136.6133652,lossExc,0.00467,,,,,All same as h2Grid
14FR,17FR,methaneGrid,,318.1552849,lossExc,0.01089,,,,,All same as h2Grid
14FR,18FR,methaneGrid,,344.2556995,lossExc,0.01178,,,,,All same as h2Grid
15FR,16FR,methaneGrid,,249.2403492,lossExc,0.00853,,,,,All same as h2Grid
15FR,18FR,methaneGrid,,309.9377053,lossExc,0.0106,,,,,All same as h2Grid
15FR,19FR,methaneGrid,,195.2164194,lossExc,0.00668,,,,,All same as h2Grid
16FR,19FR,methaneGrid,,169.622725,lossExc,0.0058,,,,,All same as h2Grid
16FR,20FR,methaneGrid,,215.3787153,lossExc,0.00737,,,,,All same as h2Grid
16FR,52IT,methaneGrid,,414.3150328,lossExc,0.01418,,,,,All same as h2Grid
17FR,18FR,methaneGrid,,202.6791238,lossExc,0.00693,,,,,All same as h2Grid
17FR,21FR,methaneGrid,,239.28429,lossExc,0.00819,,,,,All same as h2Grid
17FR,22FR,methaneGrid,,244.5994651,lossExc,0.00837,,,,,All same as h2Grid
18FR,19FR,methaneGrid,,266.9677866,lossExc,0.00913,,,,,All same as h2Grid
18FR,22FR,methaneGrid,,281.9425219,lossExc,0.00965,,,,,All same as h2Grid
18FR,23FR,methaneGrid,,195.9269556,lossExc,0.0067,,,,,All same as h2Grid
18FR,24FR,methaneGrid,,176.3074068,lossExc,0.00603,,,,,All same as h2Grid
19FR,20FR,methaneGrid,,128.7286047,lossExc,0.0044,,,,,All same as h2Grid
19FR,24FR,methaneGrid,,260.391683,lossExc,0.00891,,,,,All same as h2Grid
20FR,24FR,methaneGrid,,227.7869615,lossExc,0.00779,,,,,All same as h2Grid
20FR,25FR,methaneGrid,,289.2192799,lossExc,0.0099,,,,,All same as h2Grid
20FR,47CH,methaneGrid,,235.1547296,lossExc,0.00805,,,,,All same as h2Grid
20FR,48CH,methaneGrid,,225.2370458,lossExc,0.00771,,,,,All same as h2Grid
20FR,52IT,methaneGrid,,336.9067548,lossExc,0.01153,,,,,All same as h2Grid
21FR,22FR,methaneGrid,,242.5869624,lossExc,0.0083,,,,,All same as h2Grid
22FR,23FR,methaneGrid,,188.7170239,lossExc,0.00646,,,,,All same as h2Grid
22FR,26FR,methaneGrid,,202.1663095,lossExc,0.00692,,,,,All same as h2Grid
23FR,24FR,methaneGrid,,199.0479478,lossExc,0.00681,,,,,All same as h2Grid
23FR,26FR,methaneGrid,,120.6619931,lossExc,0.00413,,,,,All same as h2Grid
23FR,27FR,methaneGrid,,153.4722025,lossExc,0.00525,,,,,All same as h2Grid
24FR,25FR,methaneGrid,,161.283229,lossExc,0.00552,,,,,All same as h2Grid
24FR,27FR,methaneGrid,,195.2661639,lossExc,0.00668,,,,,All same as h2Grid
25FR,27FR,methaneGrid,,167.270989,lossExc,0.00572,,,,,All same as h2Grid
25FR,28BE,methaneGrid,,264.1398562,lossExc,0.00904,,,,,All same as h2Grid
25FR,29LU,methaneGrid,,165.1477098,lossExc,0.00565,,,,,All same as h2Grid
25FR,35DE,methaneGrid,,277.5602625,lossExc,0.0095,,,,,All same as h2Grid
25FR,36DE,methaneGrid,,232.3229713,lossExc,0.00795,,,,,All same as h2Grid
25FR,47CH,methaneGrid,,198.9643584,lossExc,0.00681,,,,,All same as h2Grid
26FR,27FR,methaneGrid,,156.9966867,lossExc,0.00537,,,,,All same as h2Grid
26FR,28BE,methaneGrid,,200.3490202,lossExc,0.00685,,,,,All same as h2Grid
26FR,90UK,methaneGrid,,263.8339001,lossExc,0.00903,,,,,All same as h2Grid
27FR,28BE,methaneGrid,,150.4013144,lossExc,0.00515,,,,,All same as h2Grid
28BE,29LU,methaneGrid,,114.7981484,lossExc,0.00393,,,,,All same as h2Grid
28BE,30NL,methaneGrid,,165.3403034,lossExc,0.00566,,,,,All same as h2Grid
28BE,33DE,methaneGrid,,199.5774984,lossExc,0.00683,,,,,All same as h2Grid
29LU,35DE,methaneGrid,,175.3953939,lossExc,0.006,,,,,All same as h2Grid
30NL,31DE,methaneGrid,,312.4217743,lossExc,0.01069,,,,,All same as h2Grid
30NL,33DE,methaneGrid,,174.5465975,lossExc,0.00597,,,,,All same as h2Grid
31DE,32DE,methaneGrid,,231.9447013,lossExc,0.00794,,,,,All same as h2Grid
31DE,33DE,methaneGrid,,250.0484459,lossExc,0.00856,,,,,All same as h2Grid
31DE,34DE,methaneGrid,,315.1667435,lossExc,0.01078,,,,,All same as h2Grid
31DE,35DE,methaneGrid,,337.3330513,lossExc,0.01154,,,,,All same as h2Grid
31DE,38DK,methaneGrid,,297.178229,lossExc,0.01017,,,,,All same as h2Grid
32DE,34DE,methaneGrid,,267.703044,lossExc,0.00916,,,,,All same as h2Grid
32DE,44PL,methaneGrid,,274.1442939,lossExc,0.00938,,,,,All same as h2Grid
33DE,35DE,methaneGrid,,127.8183741,lossExc,0.00437,,,,,All same as h2Grid
34DE,35DE,methaneGrid,,281.8972247,lossExc,0.00964,,,,,All same as h2Grid
34DE,37DE,methaneGrid,,247.963176,lossExc,0.00848,,,,,All same as h2Grid
34DE,39CZ,methaneGrid,,213.1205044,lossExc,0.00729,,,,,All same as h2Grid
34DE,44PL,methaneGrid,,320.0532054,lossExc,0.01095,,,,,All same as h2Grid
35DE,36DE,methaneGrid,,205.7224337,lossExc,0.00704,,,,,All same as h2Grid
35DE,37DE,methaneGrid,,239.1816951,lossExc,0.00818,,,,,All same as h2Grid
36DE,37DE,methaneGrid,,130.8050302,lossExc,0.00448,,,,,All same as h2Grid
36DE,47CH,methaneGrid,,186.4672776,lossExc,0.00638,,,,,All same as h2Grid
37DE,39CZ,methaneGrid,,275.0259717,lossExc,0.00941,,,,,All same as h2Grid
37DE,49AT,methaneGrid,,221.307682,lossExc,0.00757,,,,,All same as h2Grid
37DE,50AT,methaneGrid,,313.9276745,lossExc,0.01074,,,,,All same as h2Grid
38DK,72DK,methaneGrid,,167.5531634,lossExc,0.00573,,,,,All same as h2Grid
38DK,79NO,methaneGrid,,355.3083325,lossExc,0.01216,,,,,All same as h2Grid
39CZ,40CZ,methaneGrid,,161.3899853,lossExc,0.00552,,,,,All same as h2Grid
39CZ,44PL,methaneGrid,,299.0205021,lossExc,0.01023,,,,,All same as h2Grid
39CZ,50AT,methaneGrid,,265.1770555,lossExc,0.00907,,,,,All same as h2Grid
39CZ,51AT,methaneGrid,,240.6050618,lossExc,0.00823,,,,,All same as h2Grid
40CZ,43PL,methaneGrid,,198.2194216,lossExc,0.00678,,,,,All same as h2Grid
40CZ,44PL,methaneGrid,,307.4527343,lossExc,0.01052,,,,,All same as h2Grid
40CZ,46SK,methaneGrid,,241.4773941,lossExc,0.00826,,,,,All same as h2Grid
40CZ,51AT,methaneGrid,,190.3007039,lossExc,0.00651,,,,,All same as h2Grid
41PL,42PL,methaneGrid,,182.7117625,lossExc,0.00625,,,,,All same as h2Grid
41PL,43PL,methaneGrid,,254.8828619,lossExc,0.00872,,,,,All same as h2Grid
41PL,44PL,methaneGrid,,290.4179975,lossExc,0.00994,,,,,All same as h2Grid
41PL,45PL,methaneGrid,,191.6378897,lossExc,0.00656,,,,,All same as h2Grid
41PL,77LT,methaneGrid,,391.6990835,lossExc,0.0134,,,,,All same as h2Grid
42PL,43PL,methaneGrid,,204.0086329,lossExc,0.00698,,,,,All same as h2Grid
42PL,46SK,methaneGrid,,284.4793059,lossExc,0.00973,,,,,All same as h2Grid
43PL,44PL,methaneGrid,,314.4017133,lossExc,0.01076,,,,,All same as h2Grid
43PL,46SK,methaneGrid,,162.0806534,lossExc,0.00555,,,,,All same as h2Grid
44PL,45PL,methaneGrid,,177.8765898,lossExc,0.00609,,,,,All same as h2Grid
45PL,89SE,methaneGrid,,436.2471423,lossExc,0.01493,,,,,All same as h2Grid
46SK,51AT,methaneGrid,,299.9877939,lossExc,0.01026,,,,,All same as h2Grid
46SK,58HU,methaneGrid,,170.5101981,lossExc,0.00583,,,,,All same as h2Grid
47CH,48CH,methaneGrid,,87.07522215,lossExc,0.00298,,,,,All same as h2Grid
47CH,49AT,methaneGrid,,302.6629821,lossExc,0.01036,,,,,All same as h2Grid
48CH,49AT,methaneGrid,,284.6385828,lossExc,0.00974,,,,,All same as h2Grid
48CH,52IT,methaneGrid,,165.0064056,lossExc,0.00565,,,,,All same as h2Grid
49AT,50AT,methaneGrid,,183.7739861,lossExc,0.00629,,,,,All same as h2Grid
49AT,52IT,methaneGrid,,254.2385298,lossExc,0.0087,,,,,All same as h2Grid
49AT,57SI,methaneGrid,,257.6799814,lossExc,0.00882,,,,,All same as h2Grid
50AT,51AT,methaneGrid,,110.4340475,lossExc,0.00378,,,,,All same as h2Grid
50AT,57SI,methaneGrid,,173.90792,lossExc,0.00595,,,,,All same as h2Grid
51AT,58HU,methaneGrid,,268.6601374,lossExc,0.00919,,,,,All same as h2Grid
52IT,53IT,methaneGrid,,258.4434312,lossExc,0.00884,,,,,All same as h2Grid
52IT,57SI,methaneGrid,,384.7714797,lossExc,0.01316,,,,,All same as h2Grid
53IT,54IT,methaneGrid,,275.9884204,lossExc,0.00944,,,,,All same as h2Grid
53IT,99FR,methaneGrid,,231.5665447,lossExc,0.00792,,,,,All same as h2Grid
54IT,55IT,methaneGrid,,221.6828076,lossExc,0.00758,,,,,All same as h2Grid
54IT,63BA,methaneGrid,,438.3305188,lossExc,0.015,,,,,All same as h2Grid
55IT,56IT,methaneGrid,,366.763383,lossExc,0.01255,,,,,All same as h2Grid
55IT,70AL,methaneGrid,,331.7180726,lossExc,0.01135,,,,,All same as h2Grid
57SI,58HU,methaneGrid,,354.8803177,lossExc,0.01214,,,,,All same as h2Grid
57SI,62HR,methaneGrid,,191.9854066,lossExc,0.00657,,,,,All same as h2Grid
58HU,59RO,methaneGrid,,342.2285586,lossExc,0.01171,,,,,All same as h2Grid
58HU,62HR,methaneGrid,,410.210311,lossExc,0.01404,,,,,All same as h2Grid
58HU,65RS,methaneGrid,,344.7495811,lossExc,0.0118,,,,,All same as h2Grid
59RO,60RO,methaneGrid,,180.938072,lossExc,0.00619,,,,,All same as h2Grid
59RO,61RO,methaneGrid,,271.7883694,lossExc,0.0093,,,,,All same as h2Grid
59RO,65RS,methaneGrid,,334.276949,lossExc,0.01144,,,,,All same as h2Grid
60RO,61RO,methaneGrid,,278.5523998,lossExc,0.00953,,,,,All same as h2Grid
60RO,65RS,methaneGrid,,296.3440868,lossExc,0.01014,,,,,All same as h2Grid
60RO,66BG,methaneGrid,,274.3865886,lossExc,0.00939,,,,,All same as h2Grid
61RO,66BG,methaneGrid,,445.5747307,lossExc,0.01525,,,,,All same as h2Grid
62HR,63BA,methaneGrid,,149.466972,lossExc,0.00511,,,,,All same as h2Grid
62HR,65RS,methaneGrid,,366.385259,lossExc,0.01254,,,,,All same as h2Grid
63BA,64ME,methaneGrid,,197.9540359,lossExc,0.00677,,,,,All same as h2Grid
63BA,65RS,methaneGrid,,219.6491038,lossExc,0.00752,,,,,All same as h2Grid
64ME,65RS,methaneGrid,,205.4702611,lossExc,0.00703,,,,,All same as h2Grid
64ME,70AL,methaneGrid,,189.3868667,lossExc,0.00648,,,,,All same as h2Grid
65RS,66BG,methaneGrid,,432.5493662,lossExc,0.0148,,,,,All same as h2Grid
65RS,67MK,methaneGrid,,310.3195234,lossExc,0.01062,,,,,All same as h2Grid
65RS,70AL,methaneGrid,,355.6206255,lossExc,0.01217,,,,,All same as h2Grid
66BG,67MK,methaneGrid,,315.2859964,lossExc,0.01079,,,,,All same as h2Grid
66BG,68GR,methaneGrid,,393.8604482,lossExc,0.01348,,,,,All same as h2Grid
67MK,68GR,methaneGrid,,181.6802457,lossExc,0.00622,,,,,All same as h2Grid
67MK,70AL,methaneGrid,,150.5136201,lossExc,0.00515,,,,,All same as h2Grid
68GR,69GR,methaneGrid,,338.6194346,lossExc,0.01159,,,,,All same as h2Grid
68GR,70AL,methaneGrid,,206.9275499,lossExc,0.00708,,,,,All same as h2Grid
72DK,89SE,methaneGrid,,164.6954858,lossExc,0.00563,,,,,All same as h2Grid
73EE,75FI,methaneGrid,,378.2993726,lossExc,0.01294,,,,,All same as h2Grid
73EE,78LV,methaneGrid,,199.7861262,lossExc,0.00684,,,,,All same as h2Grid
74FI,75FI,methaneGrid,,530.9718836,lossExc,0.01817,,,,,All same as h2Grid
74FI,85NO,methaneGrid,,410.6501244,lossExc,0.01405,,,,,All same as h2Grid
74FI,86SE,methaneGrid,,263.980813,lossExc,0.00903,,,,,All same as h2Grid
77LT,78LV,methaneGrid,,203.5679618,lossExc,0.00696,,,,,All same as h2Grid
79NO,80NO,methaneGrid,,177.2002144,lossExc,0.00606,,,,,All same as h2Grid
79NO,81NO,methaneGrid,,230.4470793,lossExc,0.00788,,,,,All same as h2Grid
80NO,81NO,methaneGrid,,251.4648622,lossExc,0.0086,,,,,All same as h2Grid
80NO,82NO,methaneGrid,,223.0004002,lossExc,0.00763,,,,,All same as h2Grid
81NO,82NO,methaneGrid,,239.1201576,lossExc,0.00818,,,,,All same as h2Grid
81NO,83NO,methaneGrid,,271.6692295,lossExc,0.00929,,,,,All same as h2Grid
82NO,83NO,methaneGrid,,241.2628238,lossExc,0.00825,,,,,All same as h2Grid
82NO,88SE,methaneGrid,,320.1586636,lossExc,0.01095,,,,,All same as h2Grid
83NO,84NO,methaneGrid,,572.1602243,lossExc,0.01958,,,,,All same as h2Grid
83NO,87SE,methaneGrid,,429.6816884,lossExc,0.0147,,,,,All same as h2Grid
84NO,85NO,methaneGrid,,553.241949,lossExc,0.01893,,,,,All same as h2Grid
84NO,86SE,methaneGrid,,270.774259,lossExc,0.00926,,,,,All same as h2Grid
84NO,87SE,methaneGrid,,420.1019246,lossExc,0.01437,,,,,All same as h2Grid
86SE,87SE,methaneGrid,,412.9328247,lossExc,0.01413,,,,,All same as h2Grid
87SE,88SE,methaneGrid,,503.9427541,lossExc,0.01724,,,,,All same as h2Grid
88SE,89SE,methaneGrid,,336.7014957,lossExc,0.01152,,,,,All same as h2Grid
90UK,91UK,methaneGrid,,269.9501434,lossExc,0.00924,,,,,All same as h2Grid
90UK,92UK,methaneGrid,,246.9479978,lossExc,0.00845,,,,,All same as h2Grid
91UK,92UK,methaneGrid,,211.0090985,lossExc,0.00722,,,,,All same as h2Grid
92UK,93UK,methaneGrid,,246.8552468,lossExc,0.00845,,,,,All same as h2Grid
93UK,94UK,methaneGrid,,351.7016062,lossExc,0.01203,,,,,All same as h2Grid
93UK,95UK,methaneGrid,,242.5576461,lossExc,0.0083,,,,,All same as h2Grid
95UK,96IE,methaneGrid,,195.1596407,lossExc,0.00668,,,,,All same as h2Grid
98IT,99FR,methaneGrid,,205.638573,lossExc,0.00704,,,,,All same as h2Grid
,,methaneGrid,2040,,lifeExc,50,,,,,All same as h2Grid
