timestep_2,region_4,technology_1,technology_2,technology_3,parameter,value,comment,"for eBoilerProHigh and eBoilerProMed potential is estimated in techData -> processHeatPotential, other technologies use existing capacities computed in heatInpus -> heatDemStock as upper limit",,,,,,,,,,,,,,,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvUp
all,66BG,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.7012,,,,,,,,,,,,,,,,,,,,
all,67MK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,68GR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,69GR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,70AL,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,72DK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,73EE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0573,,,,,,,,,,,,,,,,,,,,
all,74FI,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1811,,,,,,,,,,,,,,,,,,,,
all,75FI,networkHeat,heatGrid,districtHeatPro,capaConvUp,2.2773,,,,,,,,,,,,,,,,,,,,
all,77LT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.294,,,,,,,,,,,,,,,,,,,,
all,78LV,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,79NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,80NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,81NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,82NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,83NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,84NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,85NO,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,86SE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,87SE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.08,,,,,,,,,,,,,,,,,,,,
all,88SE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.3553,,,,,,,,,,,,,,,,,,,,
all,89SE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0977,,,,,,,,,,,,,,,,,,,,
all,90UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.4347,,,,,,,,,,,,,,,,,,,,
all,91UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1058,,,,,,,,,,,,,,,,,,,,
all,92UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.5852,,,,,,,,,,,,,,,,,,,,
all,93UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.1626,,,,,,,,,,,,,,,,,,,,
all,94UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0667,,,,,,,,,,,,,,,,,,,,
all,95UK,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,96IE,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,98IT,networkHeat,heatGrid,districtHeatPro,capaConvUp,0.0914,,,,,,,,,,,,,,,,,,,,
all,99FR,networkHeat,heatGrid,districtHeatPro,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,01ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,02ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,03ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,04ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,05ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,06ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.087,,,,,,,,,,,,,,,,,,,,
all,07ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,08ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,09ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,10ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,11ES,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1128,,,,,,,,,,,,,,,,,,,,
all,12PT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.056,,,,,,,,,,,,,,,,,,,,
all,13PT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,14FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,15FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,16FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,17FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,18FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,19FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,20FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,21FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,22FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,23FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1274,,,,,,,,,,,,,,,,,,,,
all,24FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,25FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,26FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,27FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,28BE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1361,,,,,,,,,,,,,,,,,,,,
all,29LU,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0874,,,,,,,,,,,,,,,,,,,,
all,30NL,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.158,,,,,,,,,,,,,,,,,,,,
all,31DE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0736,,,,,,,,,,,,,,,,,,,,
all,32DE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,33DE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1893,,,,,,,,,,,,,,,,,,,,
all,34DE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0884,,,,,,,,,,,,,,,,,,,,
all,35DE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1044,,,,,,,,,,,,,,,,,,,,
all,36DE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1203,,,,,,,,,,,,,,,,,,,,
all,37DE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1291,,,,,,,,,,,,,,,,,,,,
all,38DK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,39CZ,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,40CZ,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,41PL,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,42PL,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,43PL,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0516,,,,,,,,,,,,,,,,,,,,
all,44PL,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,45PL,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,46SK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,47CH,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,48CH,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,49AT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,50AT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,51AT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,52IT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.4178,,,,,,,,,,,,,,,,,,,,
all,53IT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.078,,,,,,,,,,,,,,,,,,,,
all,54IT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.1461,,,,,,,,,,,,,,,,,,,,
all,55IT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.056,,,,,,,,,,,,,,,,,,,,
all,56IT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,57SI,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,58HU,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,59RO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,60RO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,61RO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,62HR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,63BA,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,64ME,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,65RS,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,66BG,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,67MK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,68GR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,69GR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,70AL,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,72DK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,73EE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,74FI,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,75FI,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,77LT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,78LV,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,79NO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,80NO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,81NO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,82NO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,83NO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,84NO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,85NO,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,86SE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,87SE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,88SE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,89SE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,90UK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,91UK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,92UK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0.0629,,,,,,,,,,,,,,,,,,,,
all,93UK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,94UK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,95UK,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,96IE,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,98IT,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,99FR,proHeat,electricHeatPro,eBoilerProHigh,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,01ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.212,,,,,,,,,,,,,,,,,,,,
all,02ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2319,,,,,,,,,,,,,,,,,,,,
all,03ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1884,,,,,,,,,,,,,,,,,,,,
all,04ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4489,,,,,,,,,,,,,,,,,,,,
all,05ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1842,,,,,,,,,,,,,,,,,,,,
all,06ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.3393,,,,,,,,,,,,,,,,,,,,
all,07ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5411,,,,,,,,,,,,,,,,,,,,
all,08ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1634,,,,,,,,,,,,,,,,,,,,
all,09ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2614,,,,,,,,,,,,,,,,,,,,
all,10ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1502,,,,,,,,,,,,,,,,,,,,
all,11ES,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9164,,,,,,,,,,,,,,,,,,,,
all,12PT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9935,,,,,,,,,,,,,,,,,,,,
all,13PT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5253,,,,,,,,,,,,,,,,,,,,
all,14FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3076,,,,,,,,,,,,,,,,,,,,
all,15FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1093,,,,,,,,,,,,,,,,,,,,
all,16FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2479,,,,,,,,,,,,,,,,,,,,
all,17FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2902,,,,,,,,,,,,,,,,,,,,
all,18FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1424,,,,,,,,,,,,,,,,,,,,
all,19FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2418,,,,,,,,,,,,,,,,,,,,
all,20FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1969,,,,,,,,,,,,,,,,,,,,
all,21FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4169,,,,,,,,,,,,,,,,,,,,
all,22FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,23FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.9311,,,,,,,,,,,,,,,,,,,,
all,24FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.0953,,,,,,,,,,,,,,,,,,,,
all,25FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3577,,,,,,,,,,,,,,,,,,,,
all,26FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3599,,,,,,,,,,,,,,,,,,,,
all,27FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.0644,,,,,,,,,,,,,,,,,,,,
all,28BE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.979,,,,,,,,,,,,,,,,,,,,
all,29LU,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.0817,,,,,,,,,,,,,,,,,,,,
all,30NL,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.4782,,,,,,,,,,,,,,,,,,,,
all,31DE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.2454,,,,,,,,,,,,,,,,,,,,
all,32DE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.562,,,,,,,,,,,,,,,,,,,,
all,33DE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.1217,,,,,,,,,,,,,,,,,,,,
all,34DE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9456,,,,,,,,,,,,,,,,,,,,
all,35DE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.4948,,,,,,,,,,,,,,,,,,,,
all,36DE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.5986,,,,,,,,,,,,,,,,,,,,
all,37DE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.7735,,,,,,,,,,,,,,,,,,,,
all,38DK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3755,,,,,,,,,,,,,,,,,,,,
all,39CZ,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.729,,,,,,,,,,,,,,,,,,,,
all,40CZ,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.6216,,,,,,,,,,,,,,,,,,,,
all,41PL,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.8557,,,,,,,,,,,,,,,,,,,,
all,42PL,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4751,,,,,,,,,,,,,,,,,,,,
all,43PL,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.7574,,,,,,,,,,,,,,,,,,,,
all,44PL,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.8394,,,,,,,,,,,,,,,,,,,,
all,45PL,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5631,,,,,,,,,,,,,,,,,,,,
all,46SK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4723,,,,,,,,,,,,,,,,,,,,
all,47CH,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.5409,,,,,,,,,,,,,,,,,,,,
all,48CH,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2632,,,,,,,,,,,,,,,,,,,,
all,49AT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5805,,,,,,,,,,,,,,,,,,,,
all,50AT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.0748,,,,,,,,,,,,,,,,,,,,
all,51AT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.7184,,,,,,,,,,,,,,,,,,,,
all,52IT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.1802,,,,,,,,,,,,,,,,,,,,
all,53IT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4068,,,,,,,,,,,,,,,,,,,,
all,54IT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.7622,,,,,,,,,,,,,,,,,,,,
all,55IT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2918,,,,,,,,,,,,,,,,,,,,
all,56IT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2045,,,,,,,,,,,,,,,,,,,,
all,57SI,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2271,,,,,,,,,,,,,,,,,,,,
all,58HU,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3116,,,,,,,,,,,,,,,,,,,,
all,59RO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.361,,,,,,,,,,,,,,,,,,,,
all,60RO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.5707,,,,,,,,,,,,,,,,,,,,
all,61RO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2615,,,,,,,,,,,,,,,,,,,,
all,62HR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3334,,,,,,,,,,,,,,,,,,,,
all,63BA,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3792,,,,,,,,,,,,,,,,,,,,
all,64ME,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.0573,,,,,,,,,,,,,,,,,,,,
all,65RS,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.8114,,,,,,,,,,,,,,,,,,,,
all,66BG,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3815,,,,,,,,,,,,,,,,,,,,
all,67MK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2251,,,,,,,,,,,,,,,,,,,,
all,68GR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1555,,,,,,,,,,,,,,,,,,,,
all,69GR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2808,,,,,,,,,,,,,,,,,,,,
all,70AL,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.324,,,,,,,,,,,,,,,,,,,,
all,72DK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1539,,,,,,,,,,,,,,,,,,,,
all,73EE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1525,,,,,,,,,,,,,,,,,,,,
all,74FI,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3349,,,,,,,,,,,,,,,,,,,,
all,75FI,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,4.1232,,,,,,,,,,,,,,,,,,,,
all,77LT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1847,,,,,,,,,,,,,,,,,,,,
all,78LV,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3241,,,,,,,,,,,,,,,,,,,,
all,79NO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1469,,,,,,,,,,,,,,,,,,,,
all,80NO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3446,,,,,,,,,,,,,,,,,,,,
all,81NO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.7043,,,,,,,,,,,,,,,,,,,,
all,82NO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.3333,,,,,,,,,,,,,,,,,,,,
all,83NO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3518,,,,,,,,,,,,,,,,,,,,
all,84NO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2939,,,,,,,,,,,,,,,,,,,,
all,85NO,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
all,86SE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.158,,,,,,,,,,,,,,,,,,,,
all,87SE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9745,,,,,,,,,,,,,,,,,,,,
all,88SE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,3.3219,,,,,,,,,,,,,,,,,,,,
all,89SE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.9043,,,,,,,,,,,,,,,,,,,,
all,90UK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,1.4936,,,,,,,,,,,,,,,,,,,,
all,91UK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.3705,,,,,,,,,,,,,,,,,,,,
all,92UK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,2.1751,,,,,,,,,,,,,,,,,,,,
all,93UK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.588,,,,,,,,,,,,,,,,,,,,
all,94UK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.2343,,,,,,,,,,,,,,,,,,,,
all,95UK,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1771,,,,,,,,,,,,,,,,,,,,
all,96IE,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.4419,,,,,,,,,,,,,,,,,,,,
all,98IT,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0.1045,,,,,,,,,,,,,,,,,,,,
all,99FR,proHeat,electricHeatPro,eBoilerProMed,capaConvUp,0,,,,,,,,,,,,,,,,,,,,
